StartDate,RecordedDate,jspsych_id,Age,Gender,Year,Year_6_TEXT,Major,Major_3_TEXT,Inst,Start,Inst_now,Inst_list,Inst_yr,Inst_num,Inst_best,Ens,Course,Course_list,Read,Perf,Time_make,Time_listen,Concert,Genre_18,Genre_8,Genre_9,Genre_17,Genre_10,Genre_11,Genre_12,Genre_13,Genre_16,Genre_14,Genre_15,Genre_15_TEXT,participant,Pitch,Tempo,headphone,passed_practice,block_passed_practice,practice_score,accuracy
2022-02-17 12:13:06,2022-02-17 12:35:20,14vd1s548b9ux8,18,Female,Freshman,NA,Other,Public Policy,1,8,0,"clarinet, ages 8-13; voice, ages 11-13",5,2,character(0),1,0,NA,1,0,1,2,1,25,0,0,0,0,0,25,0,0,0,50,Indie,9800773380,61,70,6,Yes,1,11,0.9166666666666666
2022-02-17 12:42:46,2022-02-17 13:33:39,mv7es4a36r07yp,21,Male,Junior,NA,Other,Computer Science,1,5,0,piano 6 years,6,1,piano,0,0,NA,1,1,1,2,0,0,0,0,0,0,0,0,100,0,0,0,NA,3023525743,100,30,5,Yes,1,12,1
2022-02-17 19:34:23,2022-02-17 19:53:19,zs95hhwkeo7us3,20,Male,Sophomore,NA,Other,NA,1,9,1,"piano (12 years), double bass (8 years)",12,2,piano,1,1,Private piano lessons throughout high school,1,0,1,2,4,52,8,0,0,0,5,5,10,20,0,0,NA,1155580075,80,61,6,Yes,1,12,1
2022-02-18 11:25:39,2022-02-18 11:52:59,hl7npznsd2l2m3,18,Male,Freshman,NA,Other,Economics,1,9,0,"violin (1 year)
french horn (1 year)
keyboard (2 year)",2,3,violin,0,0,NA,1,0,1,2,0,80,0,5,0,0,0,15,0,0,0,0,NA,6141459621,55,70,6,Yes,1,11,0.9166666666666666
2022-02-18 15:29:25,2022-02-18 15:52:20,ehyzcd5c822frf,32,Female,Other,Non-student,Other,N/A,1,7,0,violin (11 yrs.); piano (23 yrs.),23,2,"c(""violin"", ""piano"")",1,1,9,1,0,1,2,0,10,15,15,60,0,0,0,0,0,0,0,NA,2334472117,60,60,6,Yes,1,12,1
2022-02-18 19:12:06,2022-02-18 19:30:02,mjcea5cxq7jmh0,20,Male,Junior,NA,Other,Computer Science,1,5,1,piano - 15 years,15,1,piano,1,1,"2 in high school, 1 in college",1,0,1,2,2,10,0,0,0,5,0,20,65,0,0,0,NA,5041247779,70,93,4,Yes,1,12,1
2022-02-19 10:18:01,2022-02-19 10:35:15,b7w8je90btmbj9,20,Male,Sophomore,NA,Other,CS/Econ,0,NA,0,NA,0,0,NA,0,0,NA,0,0,1,2,0,20,10,10,0,0,0,60,0,0,0,0,NA,3192422879,40,40,6,Yes,1,9,0.75
2022-02-19 13:34:49,2022-02-19 13:52:18,h2ssk42gqrxfjy,18,Male,Sophomore,NA,Other,Biology,1,13,0,"'-clarinet (1 yr)
-percussion (5 yrs)",5,2,character(0),1,1,12,1,0,1,3,0,30,0,0,0,0,50,10,0,0,10,0,NA,7404697358,60,60,6,Yes,1,12,1
2022-02-19 13:36:10,2022-02-19 14:03:31,w3uh3gtrykkjgc,19,Female,Sophomore,NA,Other,Biology and Global Studies,1,8,0,"piano, some guitar, and mostly singing",NA,3,piano,1,1,1 year of music class in highschool,1,0,1,3,2,0,0,0,0,0,20,10,0,0,70,0,NA,9065164044,4,24,4,Yes,1,12,1
2022-02-19 14:02:24,2022-02-19 14:24:53,wvthln29scycjv,19,Female,Sophomore,NA,Other,Biology,1,7,0,"voice - 3
piano - 5",5,2,piano,1,0,NA,0,0,1,4,0,94,2,2,0,0,2,0,0,0,0,0,NA,3270768954,46,46,6,Yes,1,10,0.8333333333333334
2022-02-19 18:15:56,2022-02-19 18:38:58,txmyjty1k80l3f,19,Female,Freshman,NA,NA,Economics,1,12,0,"alto saxophone - 4 years
piano - 1 year
violin - 1 year",4,3,"c(""piano"", ""violin"")",0,1,1,0,0,1,3,0,33,33,0,0,0,0,34,0,0,0,0,NA,1588756489,14,14,6,Yes,1,12,1
2022-02-20 11:27:05,2022-02-20 12:06:18,c1vn7ym2gp4mvs,19,Female,Freshman,NA,Psychology,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,1,3,0,50,35,15,0,0,0,0,0,0,0,0,NA,2701997442,5,10,6,Yes,2,9,0.75
2022-02-20 16:31:42,2022-02-20 16:51:59,2mm1j8vdhh6k4u,NA,Female,Sophomore,NA,Other,Neuroscience,0,NA,0,NA,0,0,NA,0,0,NA,0,0,1,3,0,0,0,0,0,0,80,20,0,0,0,0,NA,7507206303,50,50,6,Yes,1,12,1
2022-02-20 16:21:56,2022-02-20 18:23:05,5nwv37q3nx1cdx,20,Female,Sophomore,NA,Other,Biology,1,11,1,"piano-5
guitar-4
voice-7",7,3,piano,1,1,4,1,0,1,3,3,85,0,0,0,0,3,2,0,0,10,0,NA,6444402078,85,80,6,Yes,1,12,1
2022-02-21 13:05:07,2022-02-21 13:32:17,2dfy59746pxy2o,19,Female,Sophomore,NA,Other,Economics,1,9,0,violin for 9 years,9,1,violin,1,0,NA,1,-1,1,1,0,50,0,0,0,0,30,10,10,0,0,0,NA,7849985568,81,74,5,Yes,1,12,1
2022-02-21 20:52:07,2022-02-21 21:19:49,evx5gb3ga2u3qk,19,Female,Sophomore,NA,Other,Business Econ /PreMed,1,4,1,"piano, singing",15,2,piano,1,1,1,1,-1,2,2,1,50,0,0,0,0,20,20,10,0,0,0,NA,3586902878,90,90,6,Yes,1,12,1
2022-02-21 21:19:15,2022-02-21 21:38:45,ktgf46krk2vkeg,19,Male,Junior,NA,Other,Math,1,8,0,piano - 10 years,10,1,piano,0,0,NA,1,0,1,3,0,20,0,5,0,0,30,40,5,0,0,0,NA,3869729575,70,85,4,Yes,1,11,0.9166666666666666
2022-02-22 13:25:17,2022-02-22 13:45:21,v6g7xx98ppdmek,21,Male,Junior,NA,Other,Chemistry,0,NA,0,NA,0,0,NA,0,0,NA,0,0,1,3,2,40,40,0,0,0,0,0,0,0,20,0,NA,6050072818,20,50,6,Yes,1,12,1
2022-02-22 16:34:57,2022-02-22 17:05:00,rcu7aal1utyy9u,19,Female,Freshman,NA,Other,History,1,6,0,piano - 6,6,1,piano,1,0,NA,1,0,1,2,0,80,10,0,0,5,0,0,0,5,0,0,NA,8089229725,34,34,0,Yes,1,12,1
2022-02-23 11:11:05,2022-02-23 11:44:17,cafntv1le9mk8f,NA,Male,Sophomore,NA,Other,Economics,1,5,0,piano,NA,1,piano,1,1,2,0,-1,1,5,2,50,25,0,10,0,0,0,15,0,0,0,NA,2077443174,23,24,2,Yes,1,11,0.9166666666666666
2022-02-23 11:45:56,2022-02-23 12:04:34,5w1v1w6y4l86dj,18,Male,Freshman,NA,Other,Neuroscience (undeclared),1,11,0,"piano (2 years)
cello (5 years)",5,2,piano,1,1,1,1,0,1,2,1,60,0,15,0,0,10,10,5,0,0,0,NA,2095686609,70,80,6,Yes,1,12,1
2022-02-24 15:13:57,2022-02-24 15:43:02,n4hw01fm7o5ne6,20,Male,Sophomore,NA,Other,Econ,1,5,1,piano 15,15,1,piano,1,1,2,1,-1,1,2,1,20,0,0,15,0,20,20,20,0,5,0,NA,3981943250,82,83,6,Yes,1,12,1
2022-02-25 16:28:47,2022-02-25 16:46:17,5lrj1rhr26qwa7,19,Female,Sophomore,NA,Other,"econ, bio",1,8,0,"guitar, 4",4,1,character(0),0,0,NA,1,0,1,5,3,90,0,0,0,0,0,0,10,0,0,0,NA,3189001139,21,39,6,Yes,1,12,1
2022-02-26 16:53:53,2022-02-26 16:56:30,wczbffevcxqk45,19,Female,Sophomore,NA,Other,economics,1,9,0,clarinet for 4 years,4,1,character(0),1,0,NA,0,0,1,1,3,0,0,30,40,5,0,10,0,5,10,0,NA,1044403354,3,3,2,Yes,1,9,0.75
2022-02-26 21:02:42,2022-02-26 21:20:06,jvjtjq3y1aad9h,19,Female,Sophomore,NA,Other,economics,1,10,0,"violin (2)
piano(8)
clarinet(5)",8,3,"c(""violin"", ""piano"")",0,1,2,1,0,1,3,2,40,0,0,0,0,0,30,0,0,30,0,NA,1067596379,50,92,5,Yes,1,12,1
2022-02-27 10:38:39,2022-02-27 11:00:25,1zp8rsxhypb64v,NA,Female,Sophomore,NA,Other,Economics,1,8,0,piano,NA,1,piano,1,0,NA,0,0,1,3,4,60,0,0,40,0,0,0,0,0,0,0,NA,5684042495,8,20,5,Yes,1,10,0.8333333333333334
2022-02-28 12:43:22,2022-02-28 13:15:07,lmoldumze64v8k,21,Male,Junior,NA,Other,Computer Science,1,5,0,"alto saxophone (5 years)
drums (2 years)",5,2,character(0),1,1,2,1,0,1,3,0,35,0,0,0,0,35,30,0,0,0,0,NA,3566263097,55,60,6,Yes,1,11,0.9166666666666666
2022-02-28 14:37:36,2022-02-28 14:58:26,wu1v9u1mo9tn38,20,Male,Sophomore,NA,Psychology,NA,1,4,1,"piano, 16 years

singing, 6 years",16,2,piano,1,1,2,1,-1,1,4,5,10,10,0,10,0,10,60,0,0,0,0,NA,2528622657,90,100,6,Yes,1,12,1
2022-02-28 18:20:30,2022-02-28 18:46:05,srlw2wohychnow,20,Female,Freshman,NA,Other,Economics,1,5,0,"piano, 7 years",7,1,piano,0,1,1,0,1,1,2,1,15,5,0,0,15,10,30,5,20,0,0,NA,7516178077,52,51,4,Yes,1,11,0.9166666666666666
2022-03-01 12:46:56,2022-03-01 13:12:14,vex1uufvtp4phe,NA,Female,Sophomore,NA,Other,Biology,1,12,0,"string bass-2 years
handbells-5 years
choir-5 years",5,3,character(0),1,0,NA,1,0,1,2,0,80,10,0,10,0,0,0,0,0,0,0,NA,2707228965,14,40,4,Yes,1,10,0.8333333333333334
2022-03-03 01:04:59,2022-03-03 01:44:41,l0tb2uewmhksfb,20,Male,Sophomore,NA,Other,Computer Science,1,12,0,violin (3),3,1,violin,1,0,NA,1,0,1,3,0,10,0,0,0,0,70,20,0,0,0,0,NA,3619423604,20,80,0,Yes,1,12,1
2022-03-04 19:04:45,2022-03-04 19:23:35,uqdy2dcvaaen6p,18,Female,Sophomore,NA,Other,economics,1,4,0,violin,NA,1,violin,0,1,5,1,0,1,3,2,40,0,0,0,0,0,40,20,0,0,0,NA,7263097562,68,89,6,Yes,1,12,1
2022-03-06 09:54:05,2022-03-06 10:10:25,bldvvocg6fm3nj,21,Male,Sophomore,NA,Other,cs,0,5,0,NA,0,0,NA,0,0,NA,0,0,1,2,0,100,0,0,0,0,0,0,0,0,0,0,NA,6559157051,0,NA,5,Yes,1,12,1
2022-03-06 14:20:11,2022-03-06 14:38:31,ysz28770jo9npn,20,Female,Sophomore,NA,Other,Biology,1,8,1,"voice (12 years), piano (8 years)",12,2,piano,1,1,4,1,0,5,3,3,70,0,15,0,0,0,0,5,0,10,0,NA,3600962747,85,85,6,Yes,1,12,1
2022-03-07 18:51:34,2022-03-07 19:12:39,8glm4kxovqneap,21,Female,Junior,NA,Other,Economics,1,8,0,voice -- i was in a choir for 4 years (8 years old -12 yeras old),4,1,character(0),1,1,Piano -- 1 (very basic),0,0,1,1,1,25,15,5,0,0,15,30,5,5,0,0,NA,6819144283,60,89,5,Yes,1,12,1
2022-03-08 15:25:40,2022-03-08 15:50:29,kl9c63u623v817,24,Male,Senior,NA,Other,Economics,1,6,1,piano - 12 years,12,1,piano,0,0,NA,1,0,1,2,5,0,0,0,0,0,0,0,100,0,0,0,NA,6323213291,60,60,2,Yes,1,12,1
2022-03-09 20:16:29,2022-03-09 20:19:15,en7lefm4g8mp17,20,Male,Freshman,NA,Other,Business Economics,1,5,0,"violin 10
viola 3",10,2,violin,1,1,Orchestra all through middle and high school,1,0,1,2,0,80,0,0,0,0,0,0,0,0,0,20,EDM,4358939887,65,65,6,Yes,1,12,1
2022-03-10 17:39:20,2022-03-10 17:42:18,22-0159,20,Male,Sophomore,NA,Other,Economics (Data Science),0,NA,0,NA,0,0,NA,0,0,NA,0,0,1,2,0,20,80,0,0,0,0,0,0,0,0,0,NA,7602874178,6,4,NA,NA,NA,NA,NA
2022-03-11 10:07:19,2022-03-11 10:29:04,fmprwbaajkjteu,20,Male,Sophomore,NA,Other,Economics,1,8,0,"piano (10yrs)
drums (2 yrs)",10,2,piano,1,0,NA,1,0,1,3,1,40,20,0,20,0,0,20,0,0,0,0,NA,5099255339,18,81,6,Yes,1,12,1
